participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_Calc_Raw	WJ-III_Calc_StS	WJ-III_Spell_Raw	WJ-III_Spell_StS	WJ-III_WA_Raw	WJ-III_WA_StS
sub-01	49	93	18	98	33	95	12	88
sub-02	54	95	20	97	27	79	23	98
sub-03	60	109	23	111	37	102	27	109
sub-04	48	99	13	95	31	98	23	106
sub-05	39	93	11	94	24	90	14	97
sub-06	51	92	17	89	37	100	26	104
sub-07	57	106	17	96	44	120	24	103
sub-08	30	73	12	91	23	91	11	90
sub-09	61	108	26	116	42	112	29	113
sub-10	41	83	16	92	29	87	12	88
sub-11	63	115	11	72	42	113	29	114
sub-12	52	100	17	99	33	97	23	102
sub-13	54	104	16	98	33	98	24	105
sub-14	63	118	17	96	40	111	27	110
sub-15	59	118	22	128	36	110	29	120
sub-16	65	126	17	104	41	117	29	118
sub-17	45	95	16	104	32	81	13	93
sub-18	60	117	21	119	43	121	27	113
sub-19	61	117	25	121	44	120	23	103
sub-20	55	112	17	111	43	125	28	117
sub-21	55	112	18	114	38	114	28	117
sub-22	62	114	n/a	n/a	42	113	27	109
sub-23	51	96	15	90	34	97	18	95
sub-24	41	85	16	96	23	76	10	86
sub-25	49	92	25	119	34	96	21	97
sub-26	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-27	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-28	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-29	58	110	24	122	35	100	26	108
sub-30	49	102	15	103	29	95	19	100
sub-31	57	100	22	105	35	97	26	105
sub-32	60	116	14	93	26	85	22	102
sub-33	63	121	19	108	39	111	26	109
sub-34	60	120	12	93	39	116	28	117
sub-35	64	121	24	120	40	111	32	131
sub-36	61	115	19	103	36	102	26	108
sub-37	47	95	23	122	28	88	17	95
sub-38	68	125	24	111	47	124	32	130
sub-39	66	123	29	129	45	120	31	125
sub-40	62	114	26	121	39	107	26	106
sub-41	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-42	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-43	57	111	16	99	34	100	23	104
sub-44	56	113	14	98	36	109	23	106
sub-45	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-46	69	133	20	109	47	128	30	120
sub-47	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-48	66	119	32	134	40	107	29	113
sub-49	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-50	44	94	7	72	21	77	11	91
sub-51	58	113	16	100	35	103	23	104
sub-52	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-53	63	115	24	114	47	125	27	108
sub-54	54	104	18	104	35	101	26	109
sub-55	37	86	15	103	26	89	14	95
sub-56	44	85	15	87	29	86	11	86
sub-57	62	113	23	110	40	109	29	114
sub-58	45	84	19	95	29	85	13	87
sub-59	66	128	19	109	46	127	32	132
sub-60	44	98	15	107	31	102	19	102
sub-61	70	131	30	130	50	132	29	114
sub-62	64	115	31	132	41	110	24	100
sub-63	55	106	16	98	30	92	16	94
sub-64	61	118	14	94	41	116	30	121
sub-65	51	103	13	94	29	93	23	106
sub-66	59	107	23	111	46	123	25	104
sub-67	64	121	19	103	43	118	30	120
sub-68	52	97	16	93	29	88	10	85
sub-69	51	96	18	98	32	94	19	96
sub-70	62	121	21	119	46	128	24	106
sub-71	55	110	19	114	42	120	29	118
sub-72	39	83	12	84	28	88	9	85
sub-73	43	86	16	93	28	86	12	88
sub-74	48	97	14	94	25	83	17	96
sub-75	49	94	21	110	29	88	21	98
sub-76	60	110	22	108	38	105	29	115
sub-77	59	103	21	99	40	107	24	100
sub-78	47	88	18	94	38	104	16	91
sub-79	51	102	17	105	31	96	22	103
