onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	1.0	n/a	p	TR
5.82	2.0	1-back	0.0	0.0	0.818	f	BL
7.819	2.0	1-back	1.0	1.0	1.028	n	BL
9.818	2.0	1-back	0.0	1.0	0.978	x	TR
11.817	2.0	1-back	0.0	0.0	1.023	c	TL
13.817	2.0	1-back	1.0	1.0	1.059	p	TL
15.816	2.0	1-back	0.0	1.0	0.963	n	BL
17.815	2.0	1-back	0.0	0.0	1.122	c	TR
19.814	2.0	1-back	1.0	1.0	1.007	g	TR
21.813	2.0	1-back	0.0	0.0	0.708	n	TL
23.813	2.0	1-back	0.0	1.0	0.64	s	BR
25.812	2.0	1-back	0.0	0.0	0.667	x	BL
27.811	2.0	1-back	0.0	0.0	0.615	t	TL
29.81	2.0	1-back	1.0	0.0	0.791	g	TL
31.81	2.0	1-back	0.0	0.0	0.652	p	BR
33.809	2.0	1-back	0.0	0.0	0.95	c	TL
35.808	2.0	1-back	1.0	1.0	0.996	r	TL
37.807	2.0	1-back	0.0	0.0	1.013	t	BL
39.806	2.0	1-back	1.0	0.0	0.138	v	BL
41.806	2.0	1-back	0.0	0.0	1.034	g	BR
43.805	2.0	1-back	0.0	1.0	0.485	p	TL
45.804	2.0	1-back	0.0	0.0	0.139	x	BR
47.803	2.0	1-back	1.0	0.0	0.063	z	BR
49.803	2.0	1-back	0.0	0.0	n/a	l	TR
51.802	2.0	1-back	1.0	0.0	n/a	v	TR
53.801	2.0	1-back	0.0	0.0	0.272	n	BR
55.8	2.0	1-back	0.0	1.0	0.258	r	BL
57.799	2.0	1-back	1.0	1.0	0.246	s	BL
59.799	2.0	1-back	0.0	1.0	0.358	z	TR
61.798	2.0	1-back	0.0	0.0	0.37	l	TL
63.797	2.0	1-back	0.0	0.0	0.29	g	BR
65.796	2.0	1-back	1.0	0.0	0.003	f	BR
67.796	2.0	1-back	0.0	0.0	n/a	t	TR
69.795	2.0	1-back	0.0	0.0	n/a	z	TL
71.794	2.0	1-back	1.0	0.0	n/a	l	TL
73.793	2.0	1-back	0.0	0.0	n/a	f	BL
75.792	2.0	1-back	0.0	0.0	n/a	t	TR
77.792	2.0	1-back	1.0	0.0	n/a	r	TR
79.791	2.0	1-back	0.0	0.0	0.808	l	BR
81.79	2.0	1-back	1.0	1.0	1.182	z	BR
83.789	2.0	1-back	0.0	1.0	1.104	r	TR
85.788	2.0	1-back	1.0	1.0	1.097	v	TR
87.788	2.0	1-back	0.0	1.0	1.091	s	BL
89.787	2.0	1-back	1.0	1.0	1.156	f	BL
91.786	2.0	1-back	0.0	0.0	1.037	v	TL
93.785	2.0	1-back	0.0	1.0	1.1	x	BR
95.785	2.0	1-back	1.0	1.0	0.972	c	BR
97.784	2.0	1-back	0.0	0.0	0.948	s	BL
103.821	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.86	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.9	2.0	baseline	1.0	1.0	0.705	redcross.bmp	n/a
109.939	2.0	baseline	1.0	1.0	0.717	redcross.bmp	n/a
111.978	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.017	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.056	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
118.096	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.135	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.174	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.213	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
126.252	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.29	1.8	no_response	n/a	1.0	n/a	c	BL
134.09	1.8	no_response	n/a	0.0	1.5	l	TR
