onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.02	1.8	no_response	n/a	1.0	n/a	t	TR
5.82	2.0	1-back	0.0	0.0	n/a	c	BR
7.832	2.0	1-back	0.0	0.0	0.991	n	BL
9.845	2.0	1-back	1.0	1.0	1.112	l	BL
11.857	2.0	1-back	0.0	0.0	0.958	g	TR
13.87	2.0	1-back	0.0	0.0	1.018	f	TL
15.882	2.0	1-back	1.0	1.0	1.113	p	TL
17.895	2.0	1-back	0.0	1.0	1.035	x	TR
19.907	2.0	1-back	1.0	1.0	1.116	n	TR
21.92	2.0	1-back	0.0	1.0	1.04	s	TL
23.932	2.0	1-back	0.0	1.0	0.999	r	BR
25.945	2.0	1-back	1.0	1.0	1.013	v	BR
27.958	2.0	1-back	0.0	1.0	1.025	l	TL
29.97	2.0	1-back	1.0	1.0	1.033	z	TL
31.983	2.0	1-back	0.0	0.0	0.88	c	TR
33.995	2.0	1-back	0.0	1.0	0.942	f	BL
36.008	2.0	1-back	0.0	0.0	0.967	p	TR
38.02	2.0	1-back	1.0	1.0	0.906	t	TR
40.033	2.0	1-back	0.0	1.0	0.857	g	BL
42.045	2.0	1-back	1.0	1.0	0.898	x	BL
44.058	2.0	1-back	0.0	1.0	0.926	c	TR
46.07	2.0	1-back	1.0	1.0	0.951	p	TR
48.083	2.0	1-back	0.0	0.0	0.933	z	TL
50.096	2.0	1-back	0.0	0.0	0.924	r	BL
52.108	2.0	1-back	1.0	1.0	1.046	n	BL
54.121	2.0	1-back	0.0	1.0	0.9	z	BR
56.133	2.0	1-back	0.0	0.0	1.079	f	BL
58.146	2.0	1-back	0.0	0.0	1.049	s	TL
60.158	2.0	1-back	0.0	1.0	1.065	v	BR
62.171	2.0	1-back	1.0	1.0	0.787	c	BR
64.183	2.0	1-back	0.0	0.0	0.729	z	TL
66.196	2.0	1-back	1.0	1.0	0.944	r	TL
68.208	2.0	1-back	0.0	1.0	0.819	l	TR
70.221	2.0	1-back	1.0	1.0	0.549	n	TR
72.234	2.0	1-back	0.0	1.0	0.266	v	BR
74.246	2.0	1-back	1.0	1.0	0.24	f	BR
76.259	2.0	1-back	0.0	0.0	0.374	r	TL
78.271	2.0	1-back	1.0	0.0	0.185	l	TL
80.284	2.0	1-back	0.0	0.0	n/a	x	BR
82.296	2.0	1-back	0.0	0.0	0.264	s	BL
84.309	2.0	1-back	0.0	0.0	0.551	g	TL
86.321	2.0	1-back	0.0	1.0	0.554	t	BL
88.334	2.0	1-back	0.0	1.0	0.899	p	BR
90.346	2.0	1-back	0.0	0.0	0.585	s	BL
92.359	2.0	1-back	1.0	0.0	0.024	x	BL
94.372	2.0	1-back	0.0	1.0	0.385	v	TR
96.384	2.0	1-back	0.0	0.0	0.401	t	BR
98.397	2.0	1-back	1.0	0.0	0.397	g	BR
104.447	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.487	2.0	baseline	1.0	1.0	0.392	redcross.bmp	n/a
108.526	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.565	2.0	baseline	1.0	1.0	0.656	redcross.bmp	n/a
112.604	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
114.643	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.683	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.722	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.761	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.8	2.0	baseline	1.0	1.0	0.604	redcross.bmp	n/a
124.839	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.879	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.916	1.8	no_response	n/a	1.0	n/a	r	TL
134.716	1.8	no_response	n/a	1.0	n/a	p	TR
136.515	2.0	2-back	0.0	1.0	0.936	x	BL
138.528	2.0	2-back	1.0	1.0	1.153	t	TR
140.54	2.0	2-back	0.0	0.0	n/a	g	TL
142.553	2.0	2-back	0.0	1.0	1.15	n	BL
144.565	2.0	2-back	1.0	1.0	1.125	z	TL
146.578	2.0	2-back	0.0	1.0	1.017	c	TR
148.59	2.0	2-back	0.0	0.0	0.928	v	BR
150.603	2.0	2-back	0.0	0.0	1.103	n	BL
152.615	2.0	2-back	1.0	0.0	0.656	g	BR
154.628	2.0	2-back	0.0	0.0	0.565	s	TL
156.64	2.0	2-back	0.0	0.0	0.344	v	TR
158.653	2.0	2-back	1.0	0.0	0.201	l	TL
160.666	2.0	2-back	1.0	1.0	0.425	f	TR
162.678	2.0	2-back	0.0	1.0	0.233	s	BR
164.691	2.0	2-back	0.0	0.0	0.225	c	TL
166.703	2.0	2-back	0.0	1.0	0.119	r	BL
168.716	2.0	2-back	1.0	1.0	0.172	s	TL
170.728	2.0	2-back	0.0	0.0	n/a	l	BR
172.741	2.0	2-back	0.0	0.0	1.121	z	BL
174.753	2.0	2-back	1.0	0.0	0.923	x	BR
176.766	2.0	2-back	0.0	0.0	0.837	f	TL
178.778	2.0	2-back	0.0	0.0	0.921	t	TL
180.791	2.0	2-back	0.0	1.0	0.888	x	TR
182.804	2.0	2-back	1.0	1.0	0.971	r	TL
184.816	2.0	2-back	0.0	1.0	0.966	l	BR
186.829	2.0	2-back	0.0	0.0	1.031	n	BL
188.841	2.0	2-back	1.0	1.0	0.873	s	BR
190.854	2.0	2-back	0.0	1.0	1.179	f	BR
192.866	2.0	2-back	0.0	0.0	0.892	g	BL
194.879	2.0	2-back	0.0	1.0	0.975	p	TR
196.891	2.0	2-back	1.0	0.0	0.934	v	BL
198.904	2.0	2-back	0.0	0.0	0.892	t	BR
200.916	2.0	2-back	1.0	1.0	0.884	t	BL
202.929	2.0	2-back	0.0	1.0	0.943	z	TL
204.942	2.0	2-back	0.0	0.0	0.898	f	TR
206.954	2.0	2-back	1.0	1.0	0.859	p	TL
208.967	2.0	2-back	1.0	0.0	0.793	g	TR
210.979	2.0	2-back	0.0	0.0	0.861	c	BL
212.992	2.0	2-back	1.0	1.0	1.005	r	TR
215.004	2.0	2-back	0.0	1.0	0.869	p	BR
217.017	2.0	2-back	0.0	1.0	0.81	x	TL
219.029	2.0	2-back	0.0	0.0	0.871	l	TR
221.042	2.0	2-back	0.0	0.0	0.856	z	BL
223.054	2.0	2-back	0.0	0.0	0.891	c	BR
225.067	2.0	2-back	1.0	1.0	1.004	n	BL
227.08	2.0	2-back	1.0	1.0	0.901	v	BR
233.13	2.0	baseline	1.0	1.0	0.455	redcross.bmp	n/a
235.17	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.209	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.248	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.287	2.0	baseline	1.0	1.0	0.44	redcross.bmp	n/a
243.326	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.366	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.405	2.0	baseline	1.0	1.0	0.537	redcross.bmp	n/a
249.444	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
251.483	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
253.522	2.0	baseline	1.0	1.0	0.436	redcross.bmp	n/a
255.562	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
