onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.021	1.8	no_response	n/a	1.0	n/a	v	BL
5.82	1.8	no_response	n/a	1.0	n/a	c	BR
7.62	2.0	2-back	1.0	1.0	0.491	g	BL
9.619	2.0	2-back	0.0	0.0	n/a	p	TR
11.618	2.0	2-back	0.0	1.0	1.158	n	TL
13.617	2.0	2-back	1.0	1.0	0.782	x	TR
15.616	2.0	2-back	0.0	1.0	0.775	p	BL
17.616	2.0	2-back	0.0	1.0	1.066	c	TL
19.615	2.0	2-back	0.0	0.0	n/a	l	TL
21.614	2.0	2-back	0.0	1.0	1.013	v	TR
23.613	2.0	2-back	1.0	1.0	1.056	x	TL
25.613	2.0	2-back	1.0	1.0	1.15	g	TR
27.612	2.0	2-back	0.0	1.0	0.918	t	BR
29.611	2.0	2-back	0.0	1.0	0.911	z	BL
31.61	2.0	2-back	1.0	1.0	0.808	n	BR
33.609	2.0	2-back	0.0	1.0	1.046	f	TR
35.609	2.0	2-back	0.0	1.0	0.956	x	TL
37.608	2.0	2-back	0.0	1.0	0.988	n	BL
39.607	2.0	2-back	1.0	1.0	0.787	t	TL
41.606	2.0	2-back	0.0	1.0	0.72	l	BR
43.606	2.0	2-back	0.0	1.0	0.721	r	BL
45.605	2.0	2-back	1.0	1.0	0.739	f	BR
47.604	2.0	2-back	0.0	1.0	0.919	s	BR
49.603	2.0	2-back	0.0	1.0	0.772	v	TL
51.602	2.0	2-back	0.0	1.0	0.66	n	TR
53.602	2.0	2-back	1.0	1.0	0.699	p	TL
55.601	2.0	2-back	0.0	1.0	0.63	s	BL
57.6	2.0	2-back	0.0	1.0	0.705	g	BR
59.599	2.0	2-back	1.0	0.0	0.532	f	BL
61.599	2.0	2-back	0.0	1.0	0.523	r	TR
63.598	2.0	2-back	0.0	1.0	0.741	s	TL
65.597	2.0	2-back	0.0	1.0	0.859	z	BL
67.596	2.0	2-back	1.0	1.0	0.798	c	TL
69.595	2.0	2-back	0.0	1.0	0.789	r	BR
71.595	2.0	2-back	0.0	1.0	0.79	v	TR
73.594	2.0	2-back	1.0	0.0	0.556	l	BR
75.593	2.0	2-back	1.0	0.0	0.833	c	TR
77.592	2.0	2-back	0.0	1.0	0.742	s	BL
79.592	2.0	2-back	0.0	0.0	0.797	t	TL
81.591	2.0	2-back	0.0	1.0	0.929	r	TR
83.59	2.0	2-back	0.0	1.0	0.797	z	BL
85.589	2.0	2-back	1.0	1.0	0.652	l	TR
87.588	2.0	2-back	1.0	1.0	0.747	x	BL
89.588	2.0	2-back	0.0	1.0	0.755	f	BR
91.587	2.0	2-back	0.0	1.0	0.813	p	TR
93.586	2.0	2-back	1.0	1.0	0.735	g	BR
95.585	2.0	2-back	0.0	1.0	0.661	t	BL
97.585	2.0	2-back	1.0	1.0	0.611	z	BR
103.622	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.661	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.7	2.0	baseline	1.0	1.0	0.329	redcross.bmp	n/a
109.74	2.0	baseline	1.0	1.0	0.362	redcross.bmp	n/a
111.779	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
113.818	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
115.857	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
117.896	2.0	baseline	1.0	1.0	0.423	redcross.bmp	n/a
119.936	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
121.975	2.0	baseline	1.0	1.0	0.402	redcross.bmp	n/a
124.014	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.053	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.091	1.8	no_response	n/a	1.0	n/a	l	TR
133.891	2.0	1-back	1.0	0.0	n/a	x	TR
135.89	2.0	1-back	0.0	1.0	0.889	l	BL
137.889	2.0	1-back	1.0	1.0	0.566	s	BL
139.888	2.0	1-back	0.0	1.0	0.501	g	TL
141.887	2.0	1-back	0.0	1.0	0.791	r	BR
143.887	2.0	1-back	0.0	1.0	0.54	s	TL
145.886	2.0	1-back	0.0	1.0	0.633	z	BL
147.885	2.0	1-back	0.0	1.0	0.587	t	TR
149.884	2.0	1-back	1.0	1.0	0.649	x	TR
151.884	2.0	1-back	0.0	1.0	0.553	n	BR
153.883	2.0	1-back	0.0	1.0	0.623	l	TL
155.882	2.0	1-back	1.0	0.0	0.587	g	TL
157.881	2.0	1-back	0.0	1.0	0.599	r	BR
159.88	2.0	1-back	1.0	1.0	0.526	p	BR
161.88	2.0	1-back	0.0	1.0	0.68	z	TR
163.879	2.0	1-back	0.0	1.0	0.712	r	BL
165.878	2.0	1-back	1.0	1.0	0.441	x	BL
167.877	2.0	1-back	0.0	1.0	0.574	p	TR
169.877	2.0	1-back	0.0	1.0	0.515	c	BL
171.876	2.0	1-back	0.0	1.0	0.537	f	TR
173.875	2.0	1-back	1.0	1.0	0.67	l	TR
175.874	2.0	1-back	1.0	1.0	1.093	t	TR
177.873	2.0	1-back	0.0	1.0	0.635	f	TL
179.873	2.0	1-back	0.0	1.0	0.62	r	BL
181.872	2.0	1-back	1.0	0.0	0.689	s	BL
183.871	2.0	1-back	0.0	1.0	0.807	f	TR
185.87	2.0	1-back	0.0	1.0	0.561	c	BR
187.87	2.0	1-back	1.0	1.0	0.497	z	BR
189.869	2.0	1-back	0.0	1.0	0.562	v	BL
191.868	2.0	1-back	0.0	1.0	0.703	p	TL
193.867	2.0	1-back	1.0	1.0	0.767	t	TL
195.866	2.0	1-back	0.0	1.0	0.789	c	BL
197.866	2.0	1-back	0.0	1.0	0.521	p	BR
199.865	2.0	1-back	0.0	1.0	0.485	v	TL
201.864	2.0	1-back	1.0	0.0	0.547	n	TL
203.863	2.0	1-back	0.0	1.0	0.584	s	BR
205.863	2.0	1-back	1.0	1.0	0.629	z	BR
207.862	2.0	1-back	0.0	1.0	0.581	v	BL
209.861	2.0	1-back	0.0	1.0	0.736	n	BR
211.86	2.0	1-back	0.0	0.0	0.629	t	TL
213.859	2.0	1-back	1.0	1.0	0.557	g	TL
215.859	2.0	1-back	0.0	1.0	0.519	x	TR
217.858	2.0	1-back	1.0	0.0	0.582	g	TR
219.857	2.0	1-back	0.0	1.0	0.6	c	TL
221.856	2.0	1-back	0.0	1.0	0.575	v	BL
223.856	2.0	1-back	0.0	1.0	0.655	f	BR
225.855	2.0	1-back	1.0	1.0	0.612	n	BR
231.892	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
233.931	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.971	2.0	baseline	1.0	1.0	0.285	redcross.bmp	n/a
238.01	2.0	baseline	1.0	1.0	0.388	redcross.bmp	n/a
240.049	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
242.088	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
244.128	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
246.167	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
248.206	2.0	baseline	1.0	1.0	0.538	redcross.bmp	n/a
250.245	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.284	2.0	baseline	1.0	1.0	0.613	redcross.bmp	n/a
254.324	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
