onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	c	TR
5.825	2.0	1-back	0.0	1.0	0.754	g	BL
7.824	2.0	1-back	0.0	1.0	0.676	p	TR
9.824	2.0	1-back	1.0	1.0	0.664	p	BL
11.823	2.0	1-back	0.0	1.0	0.565	t	TL
13.822	2.0	1-back	0.0	1.0	0.585	v	BR
15.821	2.0	1-back	1.0	1.0	0.636	v	TL
17.82	2.0	1-back	0.0	1.0	0.608	s	BL
19.819	2.0	1-back	1.0	1.0	0.469	s	TR
21.818	2.0	1-back	0.0	1.0	0.536	x	BR
23.817	2.0	1-back	0.0	1.0	0.573	n	TL
25.816	2.0	1-back	1.0	0.0	0.455	n	BR
27.815	2.0	1-back	0.0	1.0	0.638	f	TR
29.814	2.0	1-back	1.0	1.0	0.442	f	TL
31.813	2.0	1-back	0.0	1.0	0.623	l	TR
33.812	2.0	1-back	0.0	1.0	0.707	r	BL
35.811	2.0	1-back	0.0	1.0	0.595	z	TR
37.81	2.0	1-back	1.0	1.0	0.579	z	TL
39.81	2.0	1-back	0.0	1.0	0.564	c	TR
41.809	2.0	1-back	1.0	1.0	0.711	c	BL
43.808	2.0	1-back	0.0	1.0	0.563	g	TR
45.807	2.0	1-back	1.0	1.0	0.723	g	BR
47.806	2.0	1-back	0.0	1.0	0.577	x	BL
49.805	2.0	1-back	0.0	1.0	0.597	t	TL
51.804	2.0	1-back	1.0	1.0	0.706	t	BL
53.803	2.0	1-back	0.0	1.0	0.628	r	BR
55.802	2.0	1-back	0.0	1.0	0.686	p	BL
57.801	2.0	1-back	0.0	1.0	0.734	v	TL
59.8	2.0	1-back	0.0	1.0	0.569	s	TR
61.799	2.0	1-back	1.0	0.0	0.715	s	BR
63.798	2.0	1-back	0.0	1.0	0.723	x	BL
65.797	2.0	1-back	1.0	1.0	0.726	x	TL
67.797	2.0	1-back	0.0	1.0	0.667	l	TR
69.796	2.0	1-back	1.0	1.0	0.587	l	BL
71.795	2.0	1-back	0.0	1.0	0.451	n	BR
73.794	2.0	1-back	1.0	1.0	0.652	n	TL
75.793	2.0	1-back	0.0	1.0	0.631	z	BR
77.792	2.0	1-back	1.0	0.0	0.955	z	TL
79.791	2.0	1-back	0.0	1.0	0.364	c	BR
81.79	2.0	1-back	0.0	1.0	0.589	g	BL
83.789	2.0	1-back	0.0	1.0	0.61	p	TL
85.788	2.0	1-back	0.0	1.0	0.607	t	TR
87.787	2.0	1-back	0.0	1.0	0.641	v	BR
89.786	2.0	1-back	0.0	1.0	0.828	f	TL
91.785	2.0	1-back	1.0	1.0	0.405	f	TR
93.784	2.0	1-back	0.0	1.0	0.401	l	BR
95.783	2.0	1-back	0.0	1.0	0.498	r	BL
97.783	2.0	1-back	1.0	1.0	0.822	r	BR
103.829	2.0	baseline	1.0	1.0	0.415	redcross.bmp	n/a
105.878	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.928	2.0	baseline	1.0	1.0	0.404	redcross.bmp	n/a
109.977	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.026	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.075	2.0	baseline	1.0	1.0	0.746	redcross.bmp	n/a
116.124	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.173	2.0	baseline	1.0	1.0	0.48	redcross.bmp	n/a
120.222	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.271	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.32	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.369	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
