onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	z	TR
5.825	1.8	no_response	n/a	1.0	n/a	n	BL
7.624	2.0	2-back	0.0	1.0	0.577	g	BL
9.64	2.0	2-back	0.0	1.0	0.748	p	TR
11.656	2.0	2-back	1.0	0.0	0.777	g	TL
13.672	2.0	2-back	0.0	1.0	0.982	s	TL
15.687	2.0	2-back	0.0	1.0	0.827	f	BL
17.703	2.0	2-back	1.0	1.0	0.654	s	TR
19.719	2.0	2-back	1.0	1.0	0.854	f	TR
21.734	2.0	2-back	0.0	1.0	0.824	c	TL
23.75	2.0	2-back	0.0	1.0	0.717	x	BR
25.766	2.0	2-back	1.0	1.0	0.725	c	BL
27.782	2.0	2-back	0.0	1.0	0.832	l	TL
29.797	2.0	2-back	0.0	1.0	0.818	v	TL
31.813	2.0	2-back	0.0	1.0	0.982	p	TR
33.829	2.0	2-back	1.0	0.0	0.854	v	BR
35.845	2.0	2-back	0.0	1.0	0.868	c	TL
37.86	2.0	2-back	0.0	1.0	1.127	s	TL
39.876	2.0	2-back	0.0	1.0	0.931	t	BL
41.892	2.0	2-back	0.0	1.0	0.96	x	BR
43.907	2.0	2-back	1.0	1.0	0.806	t	TL
45.923	2.0	2-back	0.0	1.0	0.77	r	BL
47.939	2.0	2-back	0.0	1.0	0.815	n	BR
49.955	2.0	2-back	1.0	1.0	0.997	r	BR
51.97	2.0	2-back	0.0	1.0	0.813	l	TR
53.986	2.0	2-back	0.0	1.0	0.874	v	BL
56.002	2.0	2-back	1.0	1.0	0.899	l	BR
58.018	2.0	2-back	1.0	1.0	1.099	v	TR
60.033	2.0	2-back	0.0	1.0	1.006	s	BL
62.049	2.0	2-back	0.0	1.0	0.852	t	BR
64.065	2.0	2-back	0.0	1.0	0.766	c	BR
66.08	2.0	2-back	1.0	1.0	1.067	t	TR
68.096	2.0	2-back	0.0	1.0	0.909	n	TL
70.112	2.0	2-back	0.0	1.0	0.836	l	BR
72.128	2.0	2-back	1.0	1.0	0.817	n	TR
74.143	2.0	2-back	0.0	1.0	0.817	p	TL
76.159	2.0	2-back	0.0	1.0	0.835	x	BL
78.175	2.0	2-back	1.0	0.0	0.803	p	TR
80.191	2.0	2-back	0.0	1.0	0.794	f	BR
82.206	2.0	2-back	0.0	1.0	0.755	z	TL
84.222	2.0	2-back	1.0	1.0	0.617	f	TR
86.238	2.0	2-back	0.0	1.0	0.661	r	BL
88.253	2.0	2-back	0.0	1.0	0.719	x	BR
90.269	2.0	2-back	1.0	1.0	0.613	r	TR
92.285	2.0	2-back	0.0	1.0	0.57	g	BL
94.301	2.0	2-back	0.0	0.0	0.913	z	BL
96.316	2.0	2-back	1.0	1.0	1.005	g	TL
98.332	2.0	2-back	1.0	1.0	0.892	z	BR
104.396	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.445	2.0	baseline	1.0	1.0	0.367	redcross.bmp	n/a
108.494	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.543	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.592	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.641	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.69	2.0	baseline	1.0	1.0	0.313	redcross.bmp	n/a
118.739	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.788	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.837	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.886	2.0	baseline	1.0	1.0	0.371	redcross.bmp	n/a
126.935	2.0	baseline	1.0	1.0	0.437	redcross.bmp	n/a
132.983	1.8	no_response	n/a	1.0	n/a	l	TR
134.782	2.0	1-back	1.0	1.0	0.743	l	BL
136.797	2.0	1-back	0.0	1.0	0.789	s	TR
138.813	2.0	1-back	0.0	1.0	0.749	z	BL
140.829	2.0	1-back	0.0	1.0	0.535	t	TL
142.845	2.0	1-back	0.0	1.0	0.81	x	BR
144.86	2.0	1-back	1.0	1.0	0.885	x	TL
146.876	2.0	1-back	0.0	1.0	0.577	n	BL
148.892	2.0	1-back	0.0	1.0	0.54	s	TR
150.908	2.0	1-back	0.0	1.0	0.656	l	BR
152.923	2.0	1-back	1.0	1.0	0.73	l	TL
154.939	2.0	1-back	0.0	1.0	0.687	g	BR
156.955	2.0	1-back	1.0	0.0	0.905	g	TR
158.97	2.0	1-back	0.0	1.0	0.634	r	TL
160.986	2.0	1-back	1.0	1.0	0.627	r	TR
163.002	2.0	1-back	0.0	1.0	0.64	x	BL
165.018	2.0	1-back	0.0	1.0	0.926	p	TR
167.033	2.0	1-back	1.0	1.0	0.869	p	TL
169.049	2.0	1-back	0.0	1.0	0.598	c	TR
171.065	2.0	1-back	0.0	1.0	0.834	r	BL
173.081	2.0	1-back	0.0	1.0	0.748	f	TR
175.096	2.0	1-back	1.0	0.0	0.902	f	BR
177.112	2.0	1-back	1.0	1.0	0.684	f	BL
179.128	2.0	1-back	0.0	1.0	0.734	c	TL
181.143	2.0	1-back	0.0	1.0	0.793	z	BL
183.159	2.0	1-back	1.0	1.0	1.112	z	BR
185.175	2.0	1-back	0.0	1.0	0.877	v	BL
187.191	2.0	1-back	0.0	1.0	0.745	p	TL
189.206	2.0	1-back	1.0	1.0	0.692	p	TR
191.222	2.0	1-back	0.0	1.0	0.486	n	BR
193.238	2.0	1-back	0.0	1.0	0.689	s	BL
195.253	2.0	1-back	1.0	1.0	0.809	s	TL
197.269	2.0	1-back	0.0	1.0	0.732	z	TR
199.285	2.0	1-back	0.0	1.0	0.79	v	BL
201.301	2.0	1-back	0.0	1.0	0.696	t	BR
203.316	2.0	1-back	1.0	1.0	0.839	t	TL
205.332	2.0	1-back	1.0	1.0	0.939	t	BR
207.348	2.0	1-back	0.0	1.0	1.069	g	TL
209.364	2.0	1-back	0.0	1.0	0.764	x	BR
211.379	2.0	1-back	0.0	0.0	1.048	g	BL
213.395	2.0	1-back	0.0	1.0	0.461	c	TL
215.411	2.0	1-back	1.0	1.0	0.789	c	TR
217.426	2.0	1-back	0.0	1.0	0.795	v	BR
219.442	2.0	1-back	1.0	1.0	0.61	v	TL
221.458	2.0	1-back	0.0	1.0	0.6	f	TR
223.474	2.0	1-back	0.0	1.0	0.607	r	BR
225.489	2.0	1-back	0.0	1.0	0.625	n	BL
227.505	2.0	1-back	1.0	1.0	0.598	n	BR
233.569	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.618	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.667	2.0	baseline	1.0	1.0	0.341	redcross.bmp	n/a
239.716	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.765	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.814	2.0	baseline	1.0	1.0	0.304	redcross.bmp	n/a
245.863	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.912	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.961	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.01	2.0	baseline	1.0	1.0	0.375	redcross.bmp	n/a
254.059	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
