onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position	task
4.026	1.8	no_response	n/a	0	1.17	r	TR	VLD
5.825	1.8	no_response	n/a	0	0.987	p	BL	VLD
7.624	2	2-back	0.0	1	0.595	s	BL	VLD
9.623	2	2-back	1.0	1	0.752	p	TR	VLD
11.622	2	2-back	0.0	1	0.709	c	TL	VLD
13.621	2	2-back	0.0	0	0.457	g	TL	VLD
15.62	2	2-back	1.0	0	0.565	c	BL	VLD
17.619	2	2-back	0.0	1	0.501	f	TR	VLD
19.618	2	2-back	0.0	1	0.504	x	TR	VLD
21.617	2	2-back	0.0	1	0.444	z	TL	VLD
23.616	2	2-back	1.0	1	0.532	x	BR	VLD
25.615	2	2-back	0.0	1	0.297	g	BL	VLD
27.615	2	2-back	0.0	1	0.479	v	TL	VLD
29.614	2	2-back	1.0	0	0.304	g	TL	VLD
31.613	2	2-back	1.0	0	0.225	v	TR	VLD
33.612	2	2-back	0.0	1	0.522	z	BR	VLD
35.611	2	2-back	0.0	1	0.61	n	TL	VLD
37.61	2	2-back	1.0	1	0.619	z	TL	VLD
39.609	2	2-back	0.0	1	0.557	s	BL	VLD
41.608	2	2-back	1.0	0	0.553	z	BR	VLD
43.607	2	2-back	0.0	1	0.586	t	TL	VLD
45.606	2	2-back	0.0	0	0.438	f	BL	VLD
47.605	2	2-back	1.0	1	0.846	t	BR	VLD
49.604	2	2-back	0.0	1	0.404	r	BR	VLD
51.603	2	2-back	0.0	1	0.645	c	TR	VLD
53.602	2	2-back	1.0	0	0.558	r	BL	VLD
55.602	2	2-back	0.0	1	0.517	f	BR	VLD
57.601	2	2-back	0.0	1	0.313	t	TR	VLD
59.6	2	2-back	1.0	0	0.283	f	BL	VLD
61.599	2	2-back	0.0	1	0.531	c	BR	VLD
63.598	2	2-back	0.0	1	0.552	l	BR	VLD
65.597	2	2-back	0.0	1	0.434	n	TR	VLD
67.596	2	2-back	1.0	0	0.304	l	TL	VLD
69.595	2	2-back	0.0	1	0.166	s	BR	VLD
71.594	2	2-back	0.0	1	0.428	g	TR	VLD
73.593	2	2-back	1.0	0	0.375	s	TL	VLD
75.592	2	2-back	0.0	1	0.641	l	BL	VLD
77.591	2	2-back	0.0	1	0.536	r	TR	VLD
79.59	2	2-back	0.0	0	1.101	x	BR	VLD
81.589	2	2-back	0.0	1	0.829	t	TL	VLD
83.588	2	2-back	1.0	1	0.772	x	TR	VLD
85.588	2	2-back	0.0	1	0.576	n	BL	VLD
87.587	2	2-back	0.0	1	0.972	p	BR	VLD
89.586	2	2-back	1.0	1	1.116	n	TR	VLD
91.585	2	2-back	1.0	0	n/a	p	BL	VLD
93.584	2	2-back	0.0	0	n/a	v	BL	VLD
95.583	2	2-back	0.0	1	0.68	l	TL	VLD
97.582	2	2-back	1.0	0	0.658	v	BR	VLD
103.629	2	baseline	n/a	1	n/a	blackcross.bmp	n/a	VLD
