onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
2.027	1.8	no_response	n/a	1.0	n/a	v	TR
3.826	2.0	1-back	0.0	1.0	0.51	p	TL
5.842	2.0	1-back	0.0	1.0	0.728	z	BL
7.858	2.0	1-back	1.0	1.0	0.532	c	BL
9.873	2.0	1-back	0.0	1.0	0.662	t	TR
11.889	2.0	1-back	0.0	1.0	0.613	l	TL
13.905	2.0	1-back	1.0	1.0	0.451	c	TL
15.92	2.0	1-back	0.0	1.0	0.531	v	BL
17.936	2.0	1-back	0.0	1.0	0.609	n	BR
19.952	2.0	1-back	1.0	1.0	0.451	l	BR
21.968	2.0	1-back	0.0	1.0	0.629	v	TL
23.983	2.0	1-back	0.0	0.0	0.673	c	BR
25.999	2.0	1-back	0.0	1.0	0.656	r	TR
28.015	2.0	1-back	1.0	1.0	0.652	t	TR
30.031	2.0	1-back	0.0	1.0	0.853	n	BL
32.046	2.0	1-back	1.0	1.0	0.741	s	BL
34.062	2.0	1-back	0.0	1.0	0.828	v	TR
36.078	2.0	1-back	0.0	1.0	0.769	p	TL
38.093	2.0	1-back	1.0	1.0	0.763	c	TL
40.109	2.0	1-back	0.0	1.0	0.642	g	TR
42.125	2.0	1-back	1.0	1.0	0.608	z	TR
44.141	2.0	1-back	0.0	1.0	0.654	x	BR
46.156	2.0	1-back	0.0	1.0	0.741	g	BL
48.172	2.0	1-back	0.0	1.0	0.855	l	TL
50.188	2.0	1-back	0.0	1.0	0.61	r	BL
52.204	2.0	1-back	1.0	1.0	0.499	x	BL
54.219	2.0	1-back	0.0	1.0	0.577	f	BR
56.235	2.0	1-back	0.0	1.0	0.598	z	TR
58.251	2.0	1-back	1.0	1.0	0.677	r	TR
60.267	2.0	1-back	0.0	1.0	0.581	f	BL
62.282	2.0	1-back	1.0	1.0	0.565	n	BL
64.298	2.0	1-back	0.0	1.0	0.49	x	TR
66.314	2.0	1-back	1.0	1.0	0.66	t	TR
68.329	2.0	1-back	0.0	1.0	0.59	p	BR
70.345	2.0	1-back	1.0	1.0	0.571	x	BR
72.361	2.0	1-back	0.0	1.0	0.488	t	TL
74.377	2.0	1-back	1.0	1.0	0.555	s	TL
76.392	2.0	1-back	0.0	1.0	0.45	f	BL
78.408	2.0	1-back	0.0	1.0	0.793	l	BR
80.424	2.0	1-back	1.0	1.0	0.629	g	BR
82.44	2.0	1-back	0.0	1.0	0.48	n	TL
