onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	r	TL
5.825	2.0	1-back	1.0	1.0	0.65	r	TR
7.824	2.0	1-back	0.0	1.0	0.54	g	BR
9.823	2.0	1-back	1.0	1.0	0.577	g	TL
11.822	2.0	1-back	0.0	1.0	0.322	f	TR
13.821	2.0	1-back	0.0	1.0	0.515	t	BL
15.821	2.0	1-back	0.0	1.0	0.584	v	TL
17.82	2.0	1-back	0.0	1.0	0.483	p	TR
19.819	2.0	1-back	1.0	1.0	0.357	p	BL
21.818	2.0	1-back	0.0	1.0	0.367	z	BR
23.817	2.0	1-back	0.0	1.0	0.513	s	TR
25.816	2.0	1-back	1.0	1.0	0.752	s	BL
27.815	2.0	1-back	0.0	1.0	0.518	c	TL
29.814	2.0	1-back	1.0	1.0	0.496	c	BR
31.813	2.0	1-back	0.0	1.0	0.475	l	BR
33.812	2.0	1-back	0.0	1.0	0.554	n	BL
35.811	2.0	1-back	0.0	1.0	0.452	v	TL
37.81	2.0	1-back	1.0	1.0	0.64	v	TR
39.809	2.0	1-back	0.0	1.0	0.405	z	BR
41.808	2.0	1-back	0.0	0.0	0.489	s	TL
43.807	2.0	1-back	0.0	1.0	0.596	x	TR
45.807	2.0	1-back	1.0	1.0	0.486	x	BL
47.806	2.0	1-back	1.0	1.0	0.594	x	BR
49.805	2.0	1-back	0.0	1.0	0.611	v	TR
51.804	2.0	1-back	0.0	1.0	0.507	z	TL
53.803	2.0	1-back	1.0	1.0	0.696	z	BR
55.802	2.0	1-back	0.0	1.0	0.443	f	BL
57.801	2.0	1-back	0.0	1.0	0.639	r	TR
59.8	2.0	1-back	1.0	1.0	0.692	r	BL
61.799	2.0	1-back	0.0	1.0	0.511	n	TL
63.798	2.0	1-back	0.0	1.0	0.535	l	BL
65.797	2.0	1-back	1.0	0.0	0.411	l	BR
67.796	2.0	1-back	0.0	1.0	0.446	s	TL
69.795	2.0	1-back	0.0	1.0	0.436	g	TR
71.794	2.0	1-back	0.0	1.0	0.601	c	BL
73.794	2.0	1-back	1.0	1.0	0.642	c	TR
75.793	2.0	1-back	0.0	1.0	0.681	f	BR
77.792	2.0	1-back	1.0	1.0	0.61	f	TL
79.791	2.0	1-back	0.0	1.0	0.59	t	TR
81.79	2.0	1-back	0.0	1.0	0.511	x	BL
83.789	2.0	1-back	0.0	1.0	0.502	p	TL
85.788	2.0	1-back	1.0	1.0	0.407	p	BL
87.787	2.0	1-back	0.0	1.0	0.594	n	BR
89.786	2.0	1-back	1.0	1.0	0.546	n	TL
91.785	2.0	1-back	0.0	1.0	0.33	g	BR
93.784	2.0	1-back	0.0	1.0	0.584	l	BL
95.783	2.0	1-back	0.0	1.0	0.614	t	TR
97.782	2.0	1-back	1.0	1.0	0.673	t	BR
103.829	2.0	baseline	1.0	1.0	0.669	redcross.bmp	n/a
105.878	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.927	2.0	baseline	1.0	1.0	0.363	redcross.bmp	n/a
109.976	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.025	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.074	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.123	2.0	baseline	1.0	1.0	0.474	redcross.bmp	n/a
118.173	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.222	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.271	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.32	2.0	baseline	1.0	1.0	0.406	redcross.bmp	n/a
126.369	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.416	1.8	no_response	n/a	0.0	1.276	v	TR
134.215	1.8	no_response	n/a	1.0	n/a	r	BR
136.014	2.0	2-back	1.0	1.0	0.744	v	TL
138.014	2.0	2-back	0.0	1.0	0.546	g	TR
140.013	2.0	2-back	0.0	1.0	0.619	p	BL
142.012	2.0	2-back	1.0	1.0	0.462	g	BR
144.011	2.0	2-back	0.0	1.0	0.443	n	TL
146.01	2.0	2-back	0.0	1.0	0.532	x	TR
148.009	2.0	2-back	0.0	1.0	0.517	l	BR
150.008	2.0	2-back	0.0	1.0	0.555	c	TL
152.007	2.0	2-back	1.0	1.0	0.411	l	BL
154.006	2.0	2-back	1.0	1.0	0.671	c	TR
156.005	2.0	2-back	0.0	1.0	0.411	t	BR
158.004	2.0	2-back	0.0	1.0	0.787	n	TL
160.003	2.0	2-back	1.0	1.0	1.116	t	BR
162.002	2.0	2-back	0.0	1.0	0.7	f	TR
164.001	2.0	2-back	0.0	1.0	0.873	n	BR
166.0	2.0	2-back	0.0	1.0	0.942	x	TL
168.0	2.0	2-back	1.0	0.0	0.733	n	BL
169.999	2.0	2-back	0.0	1.0	0.57	r	TR
171.998	2.0	2-back	0.0	1.0	0.8	f	TL
