onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	0.0	1.131	v	TR
5.825	2.0	1-back	1.0	1.0	0.678	v	BL
7.841	2.0	1-back	0.0	1.0	0.411	p	TR
9.857	2.0	1-back	0.0	1.0	0.511	g	BL
11.872	2.0	1-back	1.0	1.0	0.617	g	TL
13.888	2.0	1-back	0.0	1.0	0.151	z	BR
15.904	2.0	1-back	0.0	1.0	0.432	l	TL
17.92	2.0	1-back	0.0	1.0	0.469	t	BL
19.935	2.0	1-back	1.0	0.0	0.054	t	TR
21.951	2.0	1-back	0.0	1.0	0.281	s	BR
23.967	2.0	1-back	0.0	1.0	0.465	l	TL
25.982	2.0	1-back	0.0	1.0	0.225	x	BR
27.998	2.0	1-back	1.0	0.0	n/a	x	TR
30.014	2.0	1-back	1.0	0.0	0.345	x	TL
32.03	2.0	1-back	0.0	1.0	0.288	s	TR
34.045	2.0	1-back	1.0	1.0	0.324	s	BL
36.061	2.0	1-back	0.0	1.0	0.393	n	TR
38.077	2.0	1-back	0.0	1.0	0.394	r	TL
40.093	2.0	1-back	0.0	1.0	0.562	s	TR
42.108	2.0	1-back	0.0	1.0	0.323	t	BL
44.124	2.0	1-back	1.0	0.0	0.379	t	TR
46.14	2.0	1-back	0.0	1.0	0.014	l	BR
48.155	2.0	1-back	0.0	1.0	0.437	r	BL
50.171	2.0	1-back	0.0	1.0	0.495	f	TL
52.187	2.0	1-back	1.0	1.0	0.452	f	BL
54.203	2.0	1-back	0.0	1.0	0.205	z	BR
56.218	2.0	1-back	1.0	0.0	0.631	z	BL
58.234	2.0	1-back	0.0	1.0	0.367	c	TL
60.25	2.0	1-back	1.0	1.0	0.471	c	TR
62.266	2.0	1-back	0.0	1.0	0.384	p	BR
64.281	2.0	1-back	1.0	1.0	0.695	p	BL
66.297	2.0	1-back	0.0	1.0	0.519	n	TL
68.313	2.0	1-back	1.0	1.0	0.799	n	TR
70.328	2.0	1-back	0.0	1.0	0.77	f	BL
72.344	2.0	1-back	1.0	0.0	0.918	f	BR
74.36	2.0	1-back	0.0	1.0	0.553	l	TL
76.376	2.0	1-back	0.0	1.0	0.596	r	BR
78.391	2.0	1-back	1.0	1.0	0.819	r	TL
80.407	2.0	1-back	0.0	1.0	0.473	z	BR
82.423	2.0	1-back	0.0	1.0	0.713	n	BL
84.438	2.0	1-back	0.0	1.0	0.605	c	TL
86.454	2.0	1-back	1.0	1.0	0.526	c	TR
88.47	2.0	1-back	0.0	1.0	0.632	v	BR
90.486	2.0	1-back	1.0	1.0	1.057	v	TL
92.501	2.0	1-back	0.0	1.0	0.44	x	TR
94.517	2.0	1-back	0.0	0.0	0.478	g	BR
96.533	2.0	1-back	0.0	0.0	n/a	p	BL
98.549	2.0	1-back	0.0	1.0	0.9	g	BR
104.612	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.661	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.71	2.0	baseline	1.0	0.0	n/a	redcross.bmp	n/a
110.759	2.0	baseline	1.0	1.0	0.388	redcross.bmp	n/a
112.808	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.857	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.906	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.955	2.0	baseline	1.0	1.0	0.517	redcross.bmp	n/a
121.004	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
123.054	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
125.103	2.0	baseline	1.0	1.0	0.818	redcross.bmp	n/a
127.152	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
133.199	1.8	no_response	n/a	1.0	n/a	c	TR
134.998	1.8	no_response	n/a	0.0	0.975	g	BL
136.797	2.0	2-back	1.0	0.0	n/a	c	BL
138.813	2.0	2-back	0.0	1.0	0.338	p	TR
140.829	2.0	2-back	0.0	0.0	0.556	v	TL
142.845	2.0	2-back	1.0	1.0	0.515	p	TL
144.86	2.0	2-back	0.0	1.0	0.516	s	BL
146.876	2.0	2-back	0.0	1.0	0.635	x	TR
148.892	2.0	2-back	1.0	1.0	0.624	s	TR
150.907	2.0	2-back	1.0	0.0	0.571	x	TL
152.923	2.0	2-back	0.0	1.0	0.398	n	BR
154.939	2.0	2-back	0.0	1.0	0.628	f	BL
156.955	2.0	2-back	1.0	0.0	0.653	n	TL
158.97	2.0	2-back	0.0	1.0	0.587	t	TL
160.986	2.0	2-back	0.0	1.0	0.476	l	TR
163.002	2.0	2-back	0.0	0.0	0.687	r	BR
165.018	2.0	2-back	1.0	0.0	0.356	l	TL
167.033	2.0	2-back	0.0	1.0	0.406	z	TL
169.049	2.0	2-back	0.0	1.0	0.591	v	BL
171.065	2.0	2-back	0.0	1.0	0.805	t	BR
173.08	2.0	2-back	0.0	1.0	0.635	g	TL
175.096	2.0	2-back	1.0	1.0	0.517	t	BL
177.112	2.0	2-back	0.0	1.0	0.453	f	BR
179.128	2.0	2-back	0.0	1.0	0.48	r	BR
181.143	2.0	2-back	1.0	1.0	0.848	f	TR
183.159	2.0	2-back	0.0	1.0	0.34	z	BL
185.175	2.0	2-back	0.0	1.0	0.561	c	BR
187.191	2.0	2-back	0.0	1.0	0.505	g	TR
189.206	2.0	2-back	1.0	0.0	0.609	c	BL
191.222	2.0	2-back	0.0	1.0	0.547	p	BR
193.238	2.0	2-back	0.0	1.0	0.564	v	BR
195.253	2.0	2-back	1.0	1.0	0.686	p	TR
197.269	2.0	2-back	0.0	1.0	0.441	s	TL
199.285	2.0	2-back	0.0	1.0	0.467	t	BR
201.301	2.0	2-back	1.0	0.0	0.464	s	TR
203.316	2.0	2-back	0.0	1.0	0.436	r	TL
205.332	2.0	2-back	0.0	1.0	0.644	z	BL
207.348	2.0	2-back	1.0	1.0	0.66	r	TR
209.364	2.0	2-back	1.0	0.0	0.371	z	BR
211.379	2.0	2-back	0.0	1.0	0.676	n	TL
213.395	2.0	2-back	0.0	1.0	0.612	g	TR
215.411	2.0	2-back	1.0	1.0	0.615	n	BL
217.426	2.0	2-back	0.0	1.0	0.243	x	BR
219.442	2.0	2-back	0.0	0.0	0.403	v	TR
221.458	2.0	2-back	1.0	0.0	0.435	x	BL
223.474	2.0	2-back	0.0	1.0	0.451	l	BL
225.489	2.0	2-back	0.0	1.0	0.452	f	TL
227.505	2.0	2-back	1.0	1.0	0.547	l	BR
233.569	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
235.618	2.0	baseline	1.0	1.0	0.948	redcross.bmp	n/a
237.667	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
239.716	2.0	baseline	1.0	1.0	0.716	redcross.bmp	n/a
241.765	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.814	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
245.863	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.912	2.0	baseline	1.0	1.0	0.492	redcross.bmp	n/a
249.961	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.01	2.0	baseline	1.0	1.0	0.528	redcross.bmp	n/a
254.059	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
256.108	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
