onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	c	BL
5.825	1.8	no_response	n/a	1.0	n/a	p	BR
7.624	2.0	2-back	1.0	1.0	0.685	n	BL
9.64	2.0	2-back	0.0	1.0	0.573	x	TR
11.656	2.0	2-back	0.0	1.0	0.516	g	TL
13.671	2.0	2-back	1.0	1.0	0.421	p	TR
15.687	2.0	2-back	1.0	1.0	0.484	c	TL
17.703	2.0	2-back	0.0	1.0	0.606	x	BL
19.719	2.0	2-back	1.0	1.0	0.722	l	TL
21.734	2.0	2-back	0.0	1.0	0.61	v	TR
23.75	2.0	2-back	0.0	1.0	0.663	g	TR
25.766	2.0	2-back	0.0	1.0	0.823	t	BR
27.781	2.0	2-back	0.0	1.0	0.639	z	BL
29.797	2.0	2-back	1.0	1.0	0.49	n	BR
31.813	2.0	2-back	0.0	1.0	0.597	f	TL
33.829	2.0	2-back	0.0	1.0	0.624	n	TR
35.844	2.0	2-back	1.0	1.0	0.648	t	TL
37.86	2.0	2-back	0.0	1.0	0.622	v	BL
39.876	2.0	2-back	1.0	0.0	0.692	l	TL
41.892	2.0	2-back	0.0	1.0	0.86	r	TL
43.907	2.0	2-back	0.0	1.0	0.628	s	BR
45.923	2.0	2-back	0.0	1.0	0.6	v	BL
47.939	2.0	2-back	1.0	1.0	0.815	n	BR
49.954	2.0	2-back	0.0	1.0	0.525	p	TL
51.97	2.0	2-back	0.0	1.0	0.841	s	TR
53.986	2.0	2-back	0.0	1.0	0.622	g	BR
56.002	2.0	2-back	0.0	1.0	0.861	p	BL
58.017	2.0	2-back	1.0	1.0	0.782	f	BR
60.033	2.0	2-back	0.0	1.0	0.491	r	TR
62.049	2.0	2-back	0.0	1.0	0.548	s	BL
64.065	2.0	2-back	1.0	1.0	0.637	z	TR
66.08	2.0	2-back	1.0	0.0	0.635	x	BL
68.096	2.0	2-back	0.0	1.0	0.653	c	TL
70.112	2.0	2-back	0.0	1.0	0.642	r	TR
72.127	2.0	2-back	0.0	1.0	0.605	v	BR
74.143	2.0	2-back	0.0	0.0	0.691	l	TL
76.159	2.0	2-back	1.0	0.0	0.482	c	BR
78.175	2.0	2-back	0.0	1.0	0.613	s	TR
80.19	2.0	2-back	1.0	1.0	0.767	t	BR
82.206	2.0	2-back	0.0	1.0	0.654	r	BL
84.222	2.0	2-back	0.0	1.0	0.653	f	TL
86.237	2.0	2-back	1.0	1.0	0.624	z	BL
88.253	2.0	2-back	0.0	1.0	0.67	l	TR
90.269	2.0	2-back	0.0	0.0	0.922	x	TL
92.285	2.0	2-back	1.0	0.0	0.943	f	TR
94.3	2.0	2-back	0.0	1.0	0.928	g	BR
96.316	2.0	2-back	0.0	1.0	0.712	t	BL
98.332	2.0	2-back	1.0	0.0	0.827	z	BR
104.395	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.444	2.0	baseline	1.0	1.0	0.391	redcross.bmp	n/a
108.494	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.543	2.0	baseline	1.0	1.0	0.36	redcross.bmp	n/a
112.592	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.641	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.69	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.739	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.788	2.0	baseline	1.0	1.0	0.545	redcross.bmp	n/a
122.837	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.886	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.935	2.0	baseline	1.0	1.0	0.424	redcross.bmp	n/a
130.983	1.8	no_response	n/a	1.0	n/a	v	TR
132.782	2.0	1-back	0.0	1.0	0.493	p	TL
134.798	2.0	1-back	0.0	1.0	0.727	z	BL
136.814	2.0	1-back	1.0	1.0	0.486	c	BL
138.83	2.0	1-back	0.0	1.0	0.502	t	TR
140.845	2.0	1-back	0.0	1.0	0.577	l	TL
142.861	2.0	1-back	1.0	1.0	0.678	c	TL
144.877	2.0	1-back	0.0	1.0	0.596	v	BL
