onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	z	TR
5.825	1.8	no_response	n/a	1.0	n/a	n	BL
7.624	2.0	2-back	0.0	1.0	0.578	g	BL
9.64	2.0	2-back	0.0	1.0	0.513	p	TR
11.655	2.0	2-back	1.0	1.0	0.802	g	TL
13.671	2.0	2-back	0.0	1.0	0.6	s	TL
15.687	2.0	2-back	0.0	1.0	0.542	f	BL
17.703	2.0	2-back	1.0	1.0	0.434	s	TR
19.718	2.0	2-back	1.0	1.0	0.562	f	TR
21.734	2.0	2-back	0.0	1.0	0.609	c	TL
23.75	2.0	2-back	0.0	1.0	0.76	x	BR
25.765	2.0	2-back	1.0	1.0	0.628	c	BL
27.781	2.0	2-back	0.0	1.0	0.505	l	TL
29.797	2.0	2-back	0.0	1.0	0.721	v	TL
31.813	2.0	2-back	0.0	1.0	0.754	p	TR
33.828	2.0	2-back	1.0	0.0	0.836	v	BR
35.844	2.0	2-back	0.0	1.0	0.854	c	TL
37.86	2.0	2-back	0.0	1.0	0.754	s	TL
39.876	2.0	2-back	0.0	1.0	0.691	t	BL
41.891	2.0	2-back	0.0	1.0	0.975	x	BR
43.907	2.0	2-back	1.0	1.0	0.75	t	TL
45.923	2.0	2-back	0.0	1.0	0.672	r	BL
47.938	2.0	2-back	0.0	0.0	0.763	n	BR
49.954	2.0	2-back	1.0	1.0	0.976	r	BR
51.97	2.0	2-back	0.0	1.0	0.496	l	TR
53.986	2.0	2-back	0.0	1.0	0.63	v	BL
56.001	2.0	2-back	1.0	1.0	0.696	l	BR
58.017	2.0	2-back	1.0	1.0	0.849	v	TR
60.033	2.0	2-back	0.0	1.0	0.534	s	BL
62.049	2.0	2-back	0.0	1.0	0.832	t	BR
64.064	2.0	2-back	0.0	1.0	0.777	c	BR
66.08	2.0	2-back	1.0	1.0	0.734	t	TR
68.096	2.0	2-back	0.0	1.0	0.63	n	TL
70.111	2.0	2-back	0.0	1.0	0.681	l	BR
72.127	2.0	2-back	1.0	1.0	0.682	n	TR
74.143	2.0	2-back	0.0	1.0	0.627	p	TL
76.159	2.0	2-back	0.0	1.0	0.577	x	BL
78.174	2.0	2-back	1.0	0.0	0.863	p	TR
80.19	2.0	2-back	0.0	1.0	0.669	f	BR
82.206	2.0	2-back	0.0	1.0	0.577	z	TL
84.222	2.0	2-back	1.0	1.0	0.98	f	TR
86.237	2.0	2-back	0.0	1.0	0.671	r	BL
88.253	2.0	2-back	0.0	1.0	0.779	x	BR
90.269	2.0	2-back	1.0	1.0	0.671	r	TR
92.284	2.0	2-back	0.0	1.0	0.526	g	BL
94.3	2.0	2-back	0.0	1.0	0.536	z	BL
96.316	2.0	2-back	1.0	1.0	0.531	g	TL
98.332	2.0	2-back	1.0	1.0	0.649	z	BR
104.395	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
106.444	2.0	baseline	1.0	1.0	0.384	redcross.bmp	n/a
108.493	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
110.542	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.591	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.64	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.689	2.0	baseline	1.0	1.0	0.347	redcross.bmp	n/a
118.738	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.788	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.837	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.886	2.0	baseline	1.0	1.0	0.521	redcross.bmp	n/a
126.935	2.0	baseline	1.0	1.0	0.587	redcross.bmp	n/a
132.982	1.8	no_response	n/a	1.0	n/a	l	TR
134.781	2.0	1-back	1.0	1.0	0.599	l	BL
136.797	2.0	1-back	0.0	1.0	0.438	s	TR
138.813	2.0	1-back	0.0	1.0	0.534	z	BL
140.828	2.0	1-back	0.0	1.0	0.507	t	TL
142.844	2.0	1-back	0.0	1.0	0.475	x	BR
144.86	2.0	1-back	1.0	1.0	0.517	x	TL
146.876	2.0	1-back	0.0	1.0	0.596	n	BL
148.891	2.0	1-back	0.0	1.0	0.63	s	TR
150.907	2.0	1-back	0.0	1.0	0.481	l	BR
152.923	2.0	1-back	1.0	1.0	0.469	l	TL
154.939	2.0	1-back	0.0	1.0	0.469	g	BR
156.954	2.0	1-back	1.0	1.0	0.578	g	TR
158.97	2.0	1-back	0.0	1.0	0.416	r	TL
160.986	2.0	1-back	1.0	1.0	0.928	r	TR
163.001	2.0	1-back	0.0	1.0	0.628	x	BL
165.017	2.0	1-back	0.0	1.0	0.604	p	TR
167.033	2.0	1-back	1.0	1.0	0.5	p	TL
169.049	2.0	1-back	0.0	1.0	0.535	c	TR
171.064	2.0	1-back	0.0	1.0	0.614	r	BL
173.08	2.0	1-back	0.0	1.0	0.747	f	TR
175.096	2.0	1-back	1.0	1.0	0.698	f	BR
177.111	2.0	1-back	1.0	1.0	0.727	f	BL
179.127	2.0	1-back	0.0	1.0	0.602	c	TL
181.143	2.0	1-back	0.0	1.0	0.692	z	BL
183.159	2.0	1-back	1.0	1.0	0.663	z	BR
185.174	2.0	1-back	0.0	1.0	0.612	v	BL
187.19	2.0	1-back	0.0	1.0	0.614	p	TL
189.206	2.0	1-back	1.0	1.0	0.623	p	TR
191.222	2.0	1-back	0.0	1.0	0.515	n	BR
193.237	2.0	1-back	0.0	1.0	0.621	s	BL
195.253	2.0	1-back	1.0	1.0	0.771	s	TL
197.269	2.0	1-back	0.0	1.0	0.563	z	TR
199.284	2.0	1-back	0.0	1.0	0.571	v	BL
201.3	2.0	1-back	0.0	1.0	0.553	t	BR
203.316	2.0	1-back	1.0	1.0	0.62	t	TL
205.332	2.0	1-back	1.0	0.0	0.639	t	BR
207.347	2.0	1-back	0.0	1.0	0.594	g	TL
209.363	2.0	1-back	0.0	1.0	0.62	x	BR
211.379	2.0	1-back	0.0	1.0	1.027	g	BL
213.395	2.0	1-back	0.0	1.0	0.515	c	TL
215.41	2.0	1-back	1.0	1.0	0.621	c	TR
217.426	2.0	1-back	0.0	1.0	0.498	v	BR
219.442	2.0	1-back	1.0	0.0	0.53	v	TL
221.457	2.0	1-back	0.0	1.0	0.498	f	TR
223.473	2.0	1-back	0.0	1.0	0.531	r	BR
225.489	2.0	1-back	0.0	1.0	0.523	n	BL
227.505	2.0	1-back	1.0	1.0	0.67	n	BR
233.568	2.0	baseline	n/a	0.0	0.085	blackcross.bmp	n/a
235.617	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
237.666	2.0	baseline	1.0	1.0	0.338	redcross.bmp	n/a
239.715	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
241.764	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
243.813	2.0	baseline	1.0	1.0	0.377	redcross.bmp	n/a
245.862	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
247.912	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
249.961	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
252.01	2.0	baseline	1.0	1.0	0.329	redcross.bmp	n/a
254.059	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
